"raceId","year","round","circuitId","name","date","time","tz","circuitname","location","country","pdt","tz.dat","dt","hr","loc.hr","loc.mins","loc.hrmin","continent"
111,2003,4,21,"San Marino Grand Prix",2003-04-20,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
112,2003,5,4,"Spanish Grand Prix",2003-05-04,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
113,2003,6,23,"Austrian Grand Prix",2003-05-18,"\N",,"A1-Ring","Spielberg","Austria",,,,,,,,"Europe"
114,2003,7,6,"Monaco Grand Prix",2003-06-01,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
115,2003,8,7,"Canadian Grand Prix",2003-06-15,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
116,2003,9,20,"European Grand Prix",2003-06-29,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
117,2003,10,8,"French Grand Prix",2003-07-06,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
118,2003,11,9,"British Grand Prix",2003-07-20,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
119,2003,12,10,"German Grand Prix",2003-08-03,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
120,2003,13,11,"Hungarian Grand Prix",2003-08-24,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
121,2003,14,14,"Italian Grand Prix",2003-09-14,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
122,2003,15,19,"United States Grand Prix",2003-09-28,"\N","America/Indiana/Indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",,,,,,,,"Americas"
123,2003,16,22,"Japanese Grand Prix",2003-10-12,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
124,2002,1,1,"Australian Grand Prix",2002-03-03,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
125,2002,2,2,"Malaysian Grand Prix",2002-03-17,"\N","Asia/Kuala_Lumpur","Sepang International Circuit","Kuala Lumpur","Malaysia",,,,,,,,"Asia"
126,2002,3,18,"Brazilian Grand Prix",2002-03-31,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
127,2002,4,21,"San Marino Grand Prix",2002-04-14,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
128,2002,5,4,"Spanish Grand Prix",2002-04-28,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
129,2002,6,23,"Austrian Grand Prix",2002-05-12,"\N",,"A1-Ring","Spielberg","Austria",,,,,,,,"Europe"
130,2002,7,6,"Monaco Grand Prix",2002-05-26,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
131,2002,8,7,"Canadian Grand Prix",2002-06-09,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
132,2002,9,20,"European Grand Prix",2002-06-23,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
133,2002,10,9,"British Grand Prix",2002-07-07,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
134,2002,11,8,"French Grand Prix",2002-07-21,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
135,2002,12,10,"German Grand Prix",2002-07-28,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
136,2002,13,11,"Hungarian Grand Prix",2002-08-18,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
137,2002,14,13,"Belgian Grand Prix",2002-09-01,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
138,2002,15,14,"Italian Grand Prix",2002-09-15,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
139,2002,16,19,"United States Grand Prix",2002-09-29,"\N","America/Indiana/Indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",,,,,,,,"Americas"
140,2002,17,22,"Japanese Grand Prix",2002-10-13,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
141,2001,1,1,"Australian Grand Prix",2001-03-04,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
142,2001,2,2,"Malaysian Grand Prix",2001-03-18,"\N","Asia/Kuala_Lumpur","Sepang International Circuit","Kuala Lumpur","Malaysia",,,,,,,,"Asia"
143,2001,3,18,"Brazilian Grand Prix",2001-04-01,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
144,2001,4,21,"San Marino Grand Prix",2001-04-15,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
145,2001,5,4,"Spanish Grand Prix",2001-04-29,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
146,2001,6,23,"Austrian Grand Prix",2001-05-13,"\N",,"A1-Ring","Spielberg","Austria",,,,,,,,"Europe"
147,2001,7,6,"Monaco Grand Prix",2001-05-27,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
148,2001,8,7,"Canadian Grand Prix",2001-06-10,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
149,2001,9,20,"European Grand Prix",2001-06-24,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
150,2001,10,8,"French Grand Prix",2001-07-01,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
151,2001,11,9,"British Grand Prix",2001-07-15,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
152,2001,12,10,"German Grand Prix",2001-07-29,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
153,2001,13,11,"Hungarian Grand Prix",2001-08-19,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
154,2001,14,13,"Belgian Grand Prix",2001-09-02,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
155,2001,15,14,"Italian Grand Prix",2001-09-16,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
156,2001,16,19,"United States Grand Prix",2001-09-30,"\N","America/Indiana/Indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",,,,,,,,"Americas"
157,2001,17,22,"Japanese Grand Prix",2001-10-14,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
158,2000,1,1,"Australian Grand Prix",2000-03-12,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
159,2000,2,18,"Brazilian Grand Prix",2000-03-26,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
160,2000,3,21,"San Marino Grand Prix",2000-04-09,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
161,2000,4,9,"British Grand Prix",2000-04-23,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
162,2000,5,4,"Spanish Grand Prix",2000-05-07,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
163,2000,6,20,"European Grand Prix",2000-05-21,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
164,2000,7,6,"Monaco Grand Prix",2000-06-04,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
165,2000,8,7,"Canadian Grand Prix",2000-06-18,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
166,2000,9,8,"French Grand Prix",2000-07-02,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
167,2000,10,23,"Austrian Grand Prix",2000-07-16,"\N",,"A1-Ring","Spielberg","Austria",,,,,,,,"Europe"
168,2000,11,10,"German Grand Prix",2000-07-30,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
169,2000,12,11,"Hungarian Grand Prix",2000-08-13,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
170,2000,13,13,"Belgian Grand Prix",2000-08-27,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
171,2000,14,14,"Italian Grand Prix",2000-09-10,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
172,2000,15,19,"United States Grand Prix",2000-09-24,"\N","America/Indiana/Indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",,,,,,,,"Americas"
173,2000,16,22,"Japanese Grand Prix",2000-10-08,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
174,2000,17,2,"Malaysian Grand Prix",2000-10-22,"\N","Asia/Kuala_Lumpur","Sepang International Circuit","Kuala Lumpur","Malaysia",,,,,,,,"Asia"
175,1999,1,1,"Australian Grand Prix",1999-03-07,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
176,1999,2,18,"Brazilian Grand Prix",1999-04-11,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
177,1999,3,21,"San Marino Grand Prix",1999-05-02,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
178,1999,4,6,"Monaco Grand Prix",1999-05-16,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
179,1999,5,4,"Spanish Grand Prix",1999-05-30,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
180,1999,6,7,"Canadian Grand Prix",1999-06-13,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
181,1999,7,8,"French Grand Prix",1999-06-27,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
182,1999,8,9,"British Grand Prix",1999-07-11,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
183,1999,9,23,"Austrian Grand Prix",1999-07-25,"\N",,"A1-Ring","Spielberg","Austria",,,,,,,,"Europe"
184,1999,10,10,"German Grand Prix",1999-08-01,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
185,1999,11,11,"Hungarian Grand Prix",1999-08-15,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
186,1999,12,13,"Belgian Grand Prix",1999-08-29,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
187,1999,13,14,"Italian Grand Prix",1999-09-12,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
188,1999,14,20,"European Grand Prix",1999-09-26,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
189,1999,15,2,"Malaysian Grand Prix",1999-10-17,"\N","Asia/Kuala_Lumpur","Sepang International Circuit","Kuala Lumpur","Malaysia",,,,,,,,"Asia"
190,1999,16,22,"Japanese Grand Prix",1999-10-31,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
191,1998,1,1,"Australian Grand Prix",1998-03-08,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
192,1998,2,18,"Brazilian Grand Prix",1998-03-29,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
193,1998,3,25,"Argentine Grand Prix",1998-04-12,"\N",,"Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina",,,,,,,,"Americas"
194,1998,4,21,"San Marino Grand Prix",1998-04-26,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
195,1998,5,4,"Spanish Grand Prix",1998-05-10,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
196,1998,6,6,"Monaco Grand Prix",1998-05-24,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
197,1998,7,7,"Canadian Grand Prix",1998-06-07,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
198,1998,8,8,"French Grand Prix",1998-06-28,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
199,1998,9,9,"British Grand Prix",1998-07-12,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
200,1998,10,23,"Austrian Grand Prix",1998-07-26,"\N",,"A1-Ring","Spielberg","Austria",,,,,,,,"Europe"
201,1998,11,10,"German Grand Prix",1998-08-02,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
202,1998,12,11,"Hungarian Grand Prix",1998-08-16,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
203,1998,13,13,"Belgian Grand Prix",1998-08-30,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
204,1998,14,14,"Italian Grand Prix",1998-09-13,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
205,1998,15,20,"Luxembourg Grand Prix",1998-09-27,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
206,1998,16,22,"Japanese Grand Prix",1998-11-01,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
207,1997,1,1,"Australian Grand Prix",1997-03-09,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
208,1997,2,18,"Brazilian Grand Prix",1997-03-30,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
209,1997,3,25,"Argentine Grand Prix",1997-04-13,"\N",,"Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina",,,,,,,,"Americas"
210,1997,4,21,"San Marino Grand Prix",1997-04-27,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
211,1997,5,6,"Monaco Grand Prix",1997-05-11,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
212,1997,6,4,"Spanish Grand Prix",1997-05-25,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
213,1997,7,7,"Canadian Grand Prix",1997-06-15,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
214,1997,8,8,"French Grand Prix",1997-06-29,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
215,1997,9,9,"British Grand Prix",1997-07-13,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
216,1997,10,10,"German Grand Prix",1997-07-27,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
217,1997,11,11,"Hungarian Grand Prix",1997-08-10,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
218,1997,12,13,"Belgian Grand Prix",1997-08-24,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
219,1997,13,14,"Italian Grand Prix",1997-09-07,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
220,1997,14,23,"Austrian Grand Prix",1997-09-21,"\N",,"A1-Ring","Spielberg","Austria",,,,,,,,"Europe"
221,1997,15,20,"Luxembourg Grand Prix",1997-09-28,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
222,1997,16,22,"Japanese Grand Prix",1997-10-12,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
223,1997,17,26,"European Grand Prix",1997-10-26,"\N",,"Circuito de Jerez","Jerez de la Frontera","Spain",,,,,,,,"Europe"
224,1996,1,1,"Australian Grand Prix",1996-03-10,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
225,1996,2,18,"Brazilian Grand Prix",1996-03-31,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
226,1996,3,25,"Argentine Grand Prix",1996-04-07,"\N",,"Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina",,,,,,,,"Americas"
227,1996,4,20,"European Grand Prix",1996-04-28,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
228,1996,5,21,"San Marino Grand Prix",1996-05-05,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
229,1996,6,6,"Monaco Grand Prix",1996-05-19,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
230,1996,7,4,"Spanish Grand Prix",1996-06-02,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
231,1996,8,7,"Canadian Grand Prix",1996-06-16,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
232,1996,9,8,"French Grand Prix",1996-06-30,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
233,1996,10,9,"British Grand Prix",1996-07-14,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
234,1996,11,10,"German Grand Prix",1996-07-28,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
235,1996,12,11,"Hungarian Grand Prix",1996-08-11,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
236,1996,13,13,"Belgian Grand Prix",1996-08-25,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
237,1996,14,14,"Italian Grand Prix",1996-09-08,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
238,1996,15,27,"Portuguese Grand Prix",1996-09-22,"\N",,"Autódromo do Estoril","Estoril","Portugal",,,,,,,,"Europe"
239,1996,16,22,"Japanese Grand Prix",1996-10-13,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
240,1995,1,18,"Brazilian Grand Prix",1995-03-26,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
241,1995,2,25,"Argentine Grand Prix",1995-04-09,"\N",,"Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina",,,,,,,,"Americas"
242,1995,3,21,"San Marino Grand Prix",1995-04-30,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
243,1995,4,4,"Spanish Grand Prix",1995-05-14,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
244,1995,5,6,"Monaco Grand Prix",1995-05-28,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
245,1995,6,7,"Canadian Grand Prix",1995-06-11,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
246,1995,7,8,"French Grand Prix",1995-07-02,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
247,1995,8,9,"British Grand Prix",1995-07-16,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
248,1995,9,10,"German Grand Prix",1995-07-30,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
249,1995,10,11,"Hungarian Grand Prix",1995-08-13,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
250,1995,11,13,"Belgian Grand Prix",1995-08-27,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
251,1995,12,14,"Italian Grand Prix",1995-09-10,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
252,1995,13,27,"Portuguese Grand Prix",1995-09-24,"\N",,"Autódromo do Estoril","Estoril","Portugal",,,,,,,,"Europe"
253,1995,14,20,"European Grand Prix",1995-10-01,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
254,1995,15,28,"Pacific Grand Prix",1995-10-22,"\N",,"Okayama International Circuit","Okayama","Japan",,,,,,,,"Asia"
255,1995,16,22,"Japanese Grand Prix",1995-10-29,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
256,1995,17,29,"Australian Grand Prix",1995-11-12,"\N",,"Adelaide Street Circuit","Adelaide","Australia",,,,,,,,"Oceania"
257,1994,1,18,"Brazilian Grand Prix",1994-03-27,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
258,1994,2,28,"Pacific Grand Prix",1994-04-17,"\N",,"Okayama International Circuit","Okayama","Japan",,,,,,,,"Asia"
259,1994,3,21,"San Marino Grand Prix",1994-05-01,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
260,1994,4,6,"Monaco Grand Prix",1994-05-15,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
261,1994,5,4,"Spanish Grand Prix",1994-05-29,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
262,1994,6,7,"Canadian Grand Prix",1994-06-12,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
263,1994,7,8,"French Grand Prix",1994-07-03,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
264,1994,8,9,"British Grand Prix",1994-07-10,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
265,1994,9,10,"German Grand Prix",1994-07-31,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
266,1994,10,11,"Hungarian Grand Prix",1994-08-14,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
267,1994,11,13,"Belgian Grand Prix",1994-08-28,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
268,1994,12,14,"Italian Grand Prix",1994-09-11,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
269,1994,13,27,"Portuguese Grand Prix",1994-09-25,"\N",,"Autódromo do Estoril","Estoril","Portugal",,,,,,,,"Europe"
270,1994,14,26,"European Grand Prix",1994-10-16,"\N",,"Circuito de Jerez","Jerez de la Frontera","Spain",,,,,,,,"Europe"
271,1994,15,22,"Japanese Grand Prix",1994-11-06,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
272,1994,16,29,"Australian Grand Prix",1994-11-13,"\N",,"Adelaide Street Circuit","Adelaide","Australia",,,,,,,,"Oceania"
