"year","title","title.id","genre","rating","votes","dir.sum","year.rk","actress","actress.id","actress.by","actress.age","actor","actor.id","actor.by","actor.age","diff"
1930,"Just Imagine","tt0021016","Comedy, Fantasy, Musical",5.4,586,"David Butler [nm0124877]",16,"Maureen O'Sullivan","nm0001577",1911,19,"John Garrick","nm0308249",1902,28,9
1930,"Way for a Sailor","tt0021534","Romance, Drama",6.8,525,"Sam Wood [nm0939992]",17,"Leila Hyams","nm0404885",1905,25,"John Gilbert","nm0318105",1897,33,8
1930,"The Devil to Pay!","tt0020821","Comedy, Romance",6.6,462,"George Fitzmaurice [nm0280463]",18,"Loretta Young","nm0949835",1913,17,"Ronald Colman","nm0172903",1891,39,22
1930,"Sin Takes a Holiday","tt0021377","Comedy, Romance",6.3,426,"Paul L. Stein [nm0825596]",19,"Constance Bennett","nm0000909",1904,26,"Kenneth MacKenna","nm0533247",1899,31,5
1930,"One Romantic Night","tt0021217","Comedy, Romance",6.1,362,"Paul L. Stein [nm0825596]",20,"Lillian Gish","nm0001273",1893,37,"Rod La Rocque","nm0478942",1898,32,-5
1930,"Montana Moon","tt0021152","Comedy, Drama, Musical",4.4,353,"Malcolm St. Clair [nm0820461]",21,"Joan Crawford","nm0001076",1904,26,"Johnny Mack Brown","nm0113902",1904,26,0
1930,"The Naughty Flirt","tt0022191","Comedy, Drama, Romance",5.7,348,"Edward F. Cline [nm0166836]",22,"Alice White","nm0924442",1904,26,"Paul Page","nm0656304",1903,27,1
1930,"Reaching for the Moon","tt0021287","Comedy, Musical, Romance",5.7,318,"Edmund Goulding [nm0332539]",23,"Bebe Daniels","nm0199841",1901,29,"Douglas Fairbanks","nm0001196",1883,47,18
1930,"The Widow from Chicago","tt0021551","Crime, Drama, Romance",6.6,301,"Edward F. Cline [nm0166836]",24,"Alice White","nm0924442",1904,26,"Neil Hamilton","nm0358076",1899,31,5
1930,"Rain or Shine","tt0021282","Comedy, Drama, Romance",5.8,299,"Frank Capra [nm0001008]",25,"Joan Peers","nm0670306",1909,21,"Joe Cook","nm0177106",1890,40,19
1931,"City Lights","tt0021749","Comedy, Drama, Romance",8.5,149880,"Charles Chaplin [nm0000122]",1,"Virginia Cherrill","nm0156039",1908,23,"Charles Chaplin","nm0000122",1889,42,19
1931,"Little Caesar","tt0021079","Action, Crime, Drama",7.3,10873,"Mervyn LeRoy [nm0503777]",2,"Glenda Farrell","nm0268225",1901,30,"Douglas Fairbanks Jr.","nm0001195",1909,22,-8
1931,"Mata Hari","tt0023196","Crime, Drama, Romance",6.7,3048,"George Fitzmaurice [nm0280463]",3,"Greta Garbo","nm0001256",1905,26,"Ramon Novarro","nm0003895",1899,32,6
1931,"The Smiling Lieutenant","tt0022074","Comedy, Romance, Musical",7.4,3008,"Ernst Lubitsch [nm0523932]",4,"Claudette Colbert","nm0001055",1903,28,"Maurice Chevalier","nm0002001",1888,43,15
1931,"Platinum Blonde","tt0022268","Comedy, Romance",6.9,2598,"Frank Capra [nm0001008]",5,"Loretta Young","nm0949835",1913,18,"Robert Williams","nm0931551",1894,37,19
1931,"Waterloo Bridge","tt0022550","Drama, Romance",7.5,2250,"James Whale [nm0001843]",6,"Mae Clarke","nm0164883",1910,21,"Douglass Montgomery","nm0599766",1907,24,3
1931,"A Free Soul","tt0021885","Crime, Drama, Romance",6.7,2055,"Clarence Brown [nm0113284]",7,"Norma Shearer","nm0790454",1902,29,"Leslie Howard","nm0001366",1893,38,9
1931,"Dishonored","tt0021800","Drama, Romance, War",7.3,1766,"Josef von Sternberg [nm0903049]",8,"Marlene Dietrich","nm0000017",1901,30,"Victor McLaglen","nm0572142",1886,45,15
1931,"The Miracle Woman","tt0022153","Drama, Romance",7.2,1630,"Frank Capra [nm0001008]",9,"Barbara Stanwyck","nm0001766",1907,24,"David Manners","nm0543115",1901,30,6
1931,"Svengali","tt0022454","Drama, Horror, Romance",6.9,1583,"Archie Mayo [nm0562845]",10,"Marian Marsh","nm0550620",1913,18,"Bramwell Fletcher","nm0281955",1904,27,9
1931,"Possessed","tt0022276","Drama, Romance",6.9,1520,"Clarence Brown [nm0113284]",11,"Joan Crawford","nm0001076",1904,27,"Clark Gable","nm0000022",1901,30,3
1931,"Blonde Crazy","tt0021673","Comedy, Crime, Drama",7.1,1382,"Roy Del Ruth [nm0215877]",12,"Joan Blondell","nm0000951",1906,25,"James Cagney","nm0000010",1899,32,7
1931,"Street Scene","tt0022436","Drama, Romance",7.6,1300,"King Vidor [nm0896542]",13,"Sylvia Sidney","nm0796662",1910,21,"William Collier Jr.","nm0171873",1902,29,8
1931,"Tonight or Never","tt0022489","Comedy, Romance",7.1,1285,"Mervyn LeRoy [nm0503777]",14,"Gloria Swanson","nm0841797",1899,32,"Melvyn Douglas","nm0002048",1901,30,-2
1931,"Indiscreet","tt0022000","Comedy, Drama, Musical",7,1276,"Leo McCarey [nm0564970]",15,"Gloria Swanson","nm0841797",1899,32,"Ben Lyon","nm0528908",1901,30,-2
1931,"Five and Ten","tt0021874","Drama, Romance",7.1,1217,"Robert Z. Leonard [nm0502752]",16,"Marion Davies","nm0203836",1897,34,"Leslie Howard","nm0001366",1893,38,4
1931,"City Streets","tt0021750","Crime, Drama, Film-Noir",7.1,1116,"Rouben Mamoulian [nm0541149]",17,"Sylvia Sidney","nm0796662",1910,21,"Gary Cooper","nm0000011",1901,30,9
1931,"The Bachelor Father","tt0021633","Comedy, Drama, Romance",7.1,1020,"Robert Z. Leonard [nm0502752]",18,"Marion Davies","nm0203836",1897,34,"Ralph Forbes","nm0285391",1904,27,-7
1931,"Susan Lenox (Her Fall and Rise)","tt0022453","Drama, Romance",6.4,986,"Robert Z. Leonard [nm0502752]",19,"Greta Garbo","nm0001256",1905,26,"Clark Gable","nm0000022",1901,30,4
1931,"Other Men's Women","tt0022236","Drama, Romance",6.6,972,"William A. Wellman [nm0920074]",20,"Mary Astor","nm0000802",1906,25,"Grant Withers","nm0936728",1905,26,1
1931,"Private Lives","tt0022279","Comedy, Drama, Romance",6.8,952,"Sidney Franklin [nm0291548]",21,"Norma Shearer","nm0790454",1902,29,"Robert Montgomery","nm0599910",1904,27,-2
1931,"Bad Girl","tt0021635","Drama, Romance",6.5,945,"Frank Borzage [nm0097648]",22,"Sally Eilers","nm0251755",1908,23,"James Dunn","nm0007223",1901,30,7
1931,"Just a Gigolo","tt0021780","Comedy, Romance",7.1,828,"Jack Conway [nm0176699]",23,"Irene Purcell","nm0700723",1896,35,"William Haines","nm0354313",1900,31,-4
1931,"Trader Horn","tt0022495","Action, Adventure, Drama",6.3,825,"W.S. Van Dyke [nm0886754]",24,"Edwina Booth","nm0095693",1904,27,"Duncan Renaldo","nm0719121",1904,27,0
1931,"Illicit","tt0021992","Drama, Romance",6.2,744,"Archie Mayo [nm0562845]",25,"Barbara Stanwyck","nm0001766",1907,24,"James Rennie","nm0719686",1889,42,18
1932,"Grand Hotel","tt0022958","Drama, Romance",7.5,15844,"Edmund Goulding [nm0332539]",1,"Greta Garbo","nm0001256",1905,27,"John Barrymore","nm0000858",1882,50,23
1932,"Trouble in Paradise","tt0023622","Comedy, Crime, Romance",8.1,11806,"Ernst Lubitsch [nm0523932]",2,"Miriam Hopkins","nm0394244",1902,30,"Herbert Marshall","nm0003339",1890,42,12
1932,"Shanghai Express","tt0023458","Adventure, Drama, Romance",7.3,6618,"Josef von Sternberg [nm0903049]",3,"Marlene Dietrich","nm0000017",1901,31,"Clive Brook","nm0111612",1887,45,14
1932,"Tarzan the Ape Man","tt0023551","Action, Adventure, Romance",7.1,6532,"W.S. Van Dyke [nm0886754]",4,"Maureen O'Sullivan","nm0001577",1911,21,"Johnny Weissmuller","nm0919321",1904,28,7
1932,"A Farewell to Arms","tt0022879","Drama, Romance, War",6.5,4458,"Frank Borzage [nm0097648]",5,"Helen Hayes","nm0371040",1900,32,"Gary Cooper","nm0000011",1901,31,-1
1932,"Red Dust","tt0023382","Drama, Romance",7.4,3405,"Victor Fleming [nm0281808]",6,"Jean Harlow","nm0001318",1911,21,"Clark Gable","nm0000022",1901,31,10
1932,"Love Me Tonight","tt0023158","Comedy, Musical, Romance",7.6,3314,"Rouben Mamoulian [nm0541149]",7,"Jeanette MacDonald","nm0531776",1903,29,"Maurice Chevalier","nm0002001",1888,44,15
1932,"Murders in the Rue Morgue","tt0023249","Crime, Horror, Mystery",6.4,3284,"Robert Florey [nm0282984]",8,"Sidney Fox","nm0289253",1907,25,"Leon Ames","nm0000748",1902,30,5
1932,"The Bitter Tea of General Yen","tt0023814","Drama, Romance, War",7,3189,"Frank Capra [nm0001008]",9,"Barbara Stanwyck","nm0001766",1907,25,"Nils Asther","nm0039989",1897,35,10
1932,"One Way Passage","tt0023305","Comedy, Drama, Romance",7.7,3073,"Tay Garnett [nm0307819]",10,"Kay Francis","nm0290215",1905,27,"William Powell","nm0001635",1892,40,13
1932,"Three on a Match","tt0023590","Crime, Drama, Romance",7.2,2905,"Mervyn LeRoy [nm0503777]",11,"Joan Blondell","nm0000951",1906,26,"Warren William","nm0929925",1894,38,12
1932,"Red-Headed Woman","tt0023385","Comedy, Romance",7.1,2423,"Jack Conway [nm0176699]",12,"Jean Harlow","nm0001318",1911,21,"Chester Morris","nm0606431",1901,31,10
1932,"One Hour with You","tt0023303","Comedy, Musical, Romance",7.3,1849,"George Cukor [nm0002030] | Ernst Lubitsch [nm0523932]",13,"Jeanette MacDonald","nm0531776",1903,29,"Maurice Chevalier","nm0002001",1888,44,15
1932,"Jewel Robbery","tt0023074","Comedy, Crime, Romance",7.3,1584,"William Dieterle [nm0226189]",14,"Kay Francis","nm0290215",1905,27,"William Powell","nm0001635",1892,40,13
1932,"Downstairs","tt0022834","Drama, Romance",7.2,1539,"Monta Bell [nm0068419]",15,"Virginia Bruce","nm0115597",1909,23,"John Gilbert","nm0318105",1897,35,12
1932,"Movie Crazy","tt0023241","Comedy, Family, Romance",7.2,1256,"Clyde Bruckman [nm0115669] | Harold Lloyd [nm0516001]",16,"Constance Cummings","nm0191870",1910,22,"Harold Lloyd","nm0516001",1893,39,17
1932,"Forbidden","tt0022905","Drama, Romance",6.9,1140,"Frank Capra [nm0001008]",17,"Barbara Stanwyck","nm0001766",1907,25,"Adolphe Menjou","nm0579663",1890,42,17
1932,"Taxi","tt0023556","Crime, Drama, Romance",6.7,1030,"Roy Del Ruth [nm0215877]",18,"Loretta Young","nm0949835",1913,19,"James Cagney","nm0000010",1899,33,14
1932,"Polly of the Circus","tt0023349","Comedy, Drama, Romance",6.8,1011,"Alfred Santell [nm0763453]",19,"Marion Davies","nm0203836",1897,35,"Clark Gable","nm0000022",1901,31,-4
1932,"Smilin' Through","tt0023488","Drama, Romance",7,966,"Sidney Franklin [nm0291548]",20,"Norma Shearer","nm0790454",1902,30,"Fredric March","nm0545298",1897,35,5
1932,"Bird of Paradise","tt0022689","Adventure, Drama, Romance",6.1,952,"King Vidor [nm0896542]",21,"Dolores del Rio","nm0003123",1904,28,"Joel McCrea","nm0566948",1905,27,-1
1932,"No Man of Her Own","tt0023277","Drama, Romance",6.7,946,"Wesley Ruggles [nm0749484]",22,"Carole Lombard","nm0001479",1908,24,"Clark Gable","nm0000022",1901,31,7
1932,"Penguin Pool Murder","tt0023327","Comedy, Drama, Mystery",7,923,"George Archainbaud [nm0002179]",23,"Edna May Oliver","nm0646829",1883,49,"James Gleason","nm0322299",1882,50,1
1932,"Arsène Lupin","tt0022639","Crime, Mystery, Romance",6.9,881,"Jack Conway [nm0176699]",24,"Karen Morley","nm0605904",1909,23,"John Barrymore","nm0000858",1882,50,27
1932,"The Animal Kingdom","tt0022628","Comedy, Drama, Romance",6.5,854,"Edward H. Griffith [nm0341486] | George Cukor [nm0002030]",25,"Ann Harding","nm0362267",1902,30,"Leslie Howard","nm0001366",1893,39,9
1933,"42nd Street","tt0024034","Comedy, Musical, Romance",7.5,9799,"Lloyd Bacon [nm0045800]",1,"Bebe Daniels","nm0199841",1901,32,"George Brent","nm0107575",1904,29,-3
1933,"Queen Christina","tt0024481","Biography, Drama, History",7.7,6638,"Rouben Mamoulian [nm0541149]",2,"Greta Garbo","nm0001256",1905,28,"John Gilbert","nm0318105",1897,36,8
1933,"Little Women","tt0024264","Drama, Family, Romance",7.3,5604,"George Cukor [nm0002030]",3,"Katharine Hepburn","nm0000031",1907,26,"Paul Lukas","nm0510134",1891,42,16
1933,"Baby Face","tt0023775","Drama, Romance",7.6,5549,"Alfred E. Green [nm0337586]",4,"Barbara Stanwyck","nm0001766",1907,26,"George Brent","nm0107575",1904,29,3
1933,"Design for Living","tt0023940","Comedy, Romance",7.5,5115,"Ernst Lubitsch [nm0523932]",5,"Miriam Hopkins","nm0394244",1902,31,"Fredric March","nm0545298",1897,36,5
1933,"She Done Him Wrong","tt0024548","Comedy, Drama, History",6.4,4995,"Lowell Sherman [nm0792514]",6,"Mae West","nm0922213",1892,41,"Cary Grant","nm0000026",1904,29,-12
1933,"Footlight Parade","tt0024028","Comedy, Musical, Romance",7.6,4262,"Lloyd Bacon [nm0045800]",7,"Joan Blondell","nm0000951",1906,27,"James Cagney","nm0000010",1899,34,7
1933,"Cavalcade","tt0023876","Drama, Romance, War",5.9,4028,"Frank Lloyd [nm0515979]",8,"Diana Wynyard","nm0944087",1906,27,"Clive Brook","nm0111612",1887,46,19
1933,"Flying Down to Rio","tt0024025","Comedy, Musical, Romance",6.7,3090,"Thornton Freeland [nm0293260]",9,"Dolores del Rio","nm0003123",1904,29,"Gene Raymond","nm0713270",1908,25,-4
1933,"I'm No Angel","tt0024166","Comedy, Musical, Romance",6.9,2698,"Wesley Ruggles [nm0749484]",10,"Mae West","nm0922213",1892,41,"Cary Grant","nm0000026",1904,29,-12
1933,"Morning Glory","tt0024353","Drama, Romance",6.5,2382,"Lowell Sherman [nm0792514]",11,"Katharine Hepburn","nm0000031",1907,26,"Douglas Fairbanks Jr.","nm0001195",1909,24,-2
1933,"Bombshell","tt0023825","Comedy, Drama, Romance",7.1,2086,"Victor Fleming [nm0281808]",12,"Jean Harlow","nm0001318",1911,22,"Lee Tracy","nm0870543",1898,35,13
1933,"The Vampire Bat","tt0024727","Drama, Horror, Mystery",5.7,1965,"Frank R. Strayer [nm0833965]",13,"Fay Wray","nm0942039",1907,26,"Melvyn Douglas","nm0002048",1901,32,6
1933,"Dancing Lady","tt0023926","Comedy, Musical, Romance",6.7,1843,"Robert Z. Leonard [nm0502752]",14,"Joan Crawford","nm0001076",1904,29,"Clark Gable","nm0000022",1901,32,3
1933,"Going Hollywood","tt0024067","Musical, Romance",7,1659,"Raoul Walsh [nm0909825]",15,"Marion Davies","nm0203836",1897,36,"Bing Crosby","nm0001078",1903,30,-6
1933,"Female","tt0024008","Comedy, Drama, Romance",6.7,1406,"Michael Curtiz [nm0002031] | William Dieterle [nm0226189] | William A. Wellman [nm0920074]",16,"Ruth Chatterton","nm0154183",1892,41,"George Brent","nm0107575",1904,29,-12
1933,"Peg o' My Heart","tt0024433","Drama, Romance",7.1,1325,"Robert Z. Leonard [nm0502752]",17,"Marion Davies","nm0203836",1897,36,"Onslow Stevens","nm0828668",1902,31,-5
1933,"The Mayor of Hell","tt0024314","Crime, Drama, Romance",7,1231,"Archie Mayo [nm0562845] | Michael Curtiz [nm0002031]",18,"Madge Evans","nm0263004",1909,24,"James Cagney","nm0000010",1899,34,10
1933,"Man's Castle","tt0024302","Drama, Romance",7.3,1206,"Frank Borzage [nm0097648]",19,"Loretta Young","nm0949835",1913,20,"Spencer Tracy","nm0000075",1900,33,13
1933,"Hold Your Man","tt0024130","Drama, Romance",6.9,1202,"Sam Wood [nm0939992]",20,"Jean Harlow","nm0001318",1911,22,"Clark Gable","nm0000022",1901,32,10
1933,"Christopher Strong","tt0023891","Action, Adventure, Drama",6.3,1168,"Dorothy Arzner [nm0002188]",21,"Katharine Hepburn","nm0000031",1907,26,"Colin Clive","nm0166972",1900,33,7
1933,"Ladies They Talk About","tt0024238","Crime, Drama, Romance",6.7,1165,"Howard Bretherton [nm0107854] | William Keighley [nm0445033]",22,"Barbara Stanwyck","nm0001766",1907,26,"Preston Foster","nm0288003",1900,33,7
1933,"Midnight Mary","tt0024334","Crime, Drama, Romance",7,1105,"William A. Wellman [nm0920074]",23,"Loretta Young","nm0949835",1913,20,"Ricardo Cortez","nm0007220",1900,33,13
1933,"Gabriel Over the White House","tt0024044","Drama, Fantasy, Romance",6.4,1064,"Gregory La Cava [nm0478441]",24,"Karen Morley","nm0605904",1909,24,"Franchot Tone","nm0867144",1905,28,4
1933,"Sagebrush Trail","tt0024516","Action, Drama, Romance",5.4,950,"Armand Schaefer [nm0769585]",25,"Nancy Shubert","nm0795549",1913,20,"John Wayne","nm0000078",1907,26,6
1934,"It Happened One Night","tt0025316","Comedy, Romance",8.1,85617,"Frank Capra [nm0001008]",1,"Claudette Colbert","nm0001055",1903,31,"Clark Gable","nm0000022",1901,33,2
1934,"The Black Cat","tt0024894","Adventure, Crime, Horror",7.1,8287,"Edgar G. Ulmer [nm0880618]",2,"Julie Bishop","nm0084098",1914,20,"David Manners","nm0543115",1901,33,13
1934,"The Gay Divorcee","tt0025164","Comedy, Musical, Romance",7.5,6277,"Mark Sandrich [nm0762263]",3,"Ginger Rogers","nm0001677",1911,23,"Fred Astaire","nm0000001",1899,35,12
1934,"Of Human Bondage","tt0025586","Drama, Romance",7.2,5524,"John Cromwell [nm0188669]",4,"Bette Davis","nm0000012",1908,26,"Leslie Howard","nm0001366",1893,41,15
1934,"Twentieth Century","tt0025919","Comedy, Romance",7.6,5405,"Howard Hawks [nm0001328]",5,"Carole Lombard","nm0001479",1908,26,"John Barrymore","nm0000858",1882,52,26
1934,"The Scarlet Empress","tt0025746","Drama, History, Romance",7.6,5230,"Josef von Sternberg [nm0903049]",6,"Marlene Dietrich","nm0000017",1901,33,"John Lodge","nm0517099",1903,31,-2
1934,"Imitation of Life","tt0025301","Drama, Romance",7.5,3626,"John M. Stahl [nm0821472]",7,"Claudette Colbert","nm0001055",1903,31,"Warren William","nm0929925",1894,40,9
1934,"Manhattan Melodrama","tt0025464","Crime, Drama, Romance",7.2,3241,"W.S. Van Dyke [nm0886754] | George Cukor [nm0002030]",8,"Myrna Loy","nm0001485",1905,29,"Clark Gable","nm0000022",1901,33,4
1934,"The Merry Widow","tt0025493","Comedy, Musical, Romance",7.3,2360,"Ernst Lubitsch [nm0523932]",9,"Jeanette MacDonald","nm0531776",1903,31,"Maurice Chevalier","nm0002001",1888,46,15
1934,"The Count of Monte Cristo","tt0025004","Action, Adventure, Drama",7.5,2233,"Rowland V. Lee [nm0498174]",10,"Elissa Landi","nm0484748",1904,30,"Robert Donat","nm0232196",1905,29,-1
1934,"Judge Priest","tt0025335","Comedy, Drama, Romance",6.3,1741,"John Ford [nm0000406]",11,"Anita Louise","nm0521937",1915,19,"Tom Brown","nm0114805",1913,21,2
1934,"Dames","tt0025028","Comedy, Musical, Romance",7.2,1686,"Ray Enright [nm0258015] | Busby Berkeley [nm0000923]",12,"Ruby Keeler","nm0444528",1909,25,"Dick Powell","nm0694090",1904,30,5
1934,"Death Takes a Holiday","tt0025037","Drama, Fantasy, Romance",7.1,1494,"Mitchell Leisen [nm0500552]",13,"Evelyn Venable","nm0892867",1913,21,"Fredric March","nm0545298",1897,37,16
1934,"The Barretts of Wimpole Street","tt0024865","Biography, Drama, Romance",7,1462,"Sidney Franklin [nm0291548]",14,"Norma Shearer","nm0790454",1902,32,"Fredric March","nm0545298",1897,37,5
1934,"Jimmy the Gent","tt0025330","Comedy, Crime, Drama",6.9,1429,"Michael Curtiz [nm0002031]",15,"Bette Davis","nm0000012",1908,26,"James Cagney","nm0000010",1899,35,9
1934,"Evelyn Prentice","tt0025091","Drama, Mystery, Romance",6.9,1266,"William K. Howard [nm0397678]",16,"Myrna Loy","nm0001485",1905,29,"William Powell","nm0001635",1892,42,13
1934,"Our Daily Bread","tt0025610","Drama, Romance",7.1,1246,"King Vidor [nm0896542]",17,"Karen Morley","nm0605904",1909,25,"Tom Keene","nm0444740",1896,38,13
1934,"Operator 13","tt0025607","Drama, History, Romance",6.9,1243,"Richard Boleslawski [nm0092915]",18,"Marion Davies","nm0203836",1897,37,"Gary Cooper","nm0000011",1901,33,-4
1934,"The Painted Veil","tt0025617","Drama, Romance",6.6,1186,"Richard Boleslawski [nm0092915]",19,"Greta Garbo","nm0001256",1905,29,"Herbert Marshall","nm0003339",1890,44,15
1934,"Sadie McKee","tt0025740","Drama, Romance",6.7,1002,"Clarence Brown [nm0113284]",20,"Joan Crawford","nm0001076",1904,30,"Gene Raymond","nm0713270",1908,26,-4
1934,"Forsaking All Others","tt0025132","Comedy, Drama, Romance",6.3,990,"W.S. Van Dyke [nm0886754]",21,"Joan Crawford","nm0001076",1904,30,"Clark Gable","nm0000022",1901,33,3
1934,"The Girl from Missouri","tt0025173","Comedy, Drama, Romance",6.7,960,"Jack Conway [nm0176699] | Sam Wood [nm0939992]",22,"Jean Harlow","nm0001318",1911,23,"Franchot Tone","nm0867144",1905,29,6
1934,"The Lucky Texan","tt0025440","Action, Adventure, Romance",5.6,943,"Robert N. Bradbury [nm0102908]",23,"Barbara Sheldon","nm0790995",1912,22,"John Wayne","nm0000078",1907,27,5
1934,"Born to Be Bad","tt0024906","Drama, Romance",6.3,931,"Lowell Sherman [nm0792514] | Jack Conway [nm0176699]",24,"Loretta Young","nm0949835",1913,21,"Cary Grant","nm0000026",1904,30,9
1934,"Music in the Air","tt0025536","Comedy, Musical, Romance",7.1,912,"Joe May [nm0562004]",25,"Gloria Swanson","nm0841797",1899,35,"John Boles","nm0092900",1895,39,4
1935,"Top Hat","tt0027125","Comedy, Musical, Romance",7.8,15801,"Mark Sandrich [nm0762263]",1,"Ginger Rogers","nm0001677",1911,24,"Fred Astaire","nm0000001",1899,36,12
1935,"A Tale of Two Cities","tt0027075","Drama, History, Romance",7.8,4747,"Jack Conway [nm0176699] | Robert Z. Leonard [nm0502752]",2,"Elizabeth Allan","nm0019922",1910,25,"Ronald Colman","nm0172903",1891,44,19
1935,"Anna Karenina","tt0026071","Drama, Romance",7.1,4607,"Clarence Brown [nm0113284]",3,"Greta Garbo","nm0001256",1905,30,"Fredric March","nm0545298",1897,38,8
1935,"Mad Love","tt0026663","Horror, Romance, Sci-Fi",7.3,4007,"Karl Freund [nm0005713]",4,"Frances Drake","nm0236903",1912,23,"Colin Clive","nm0166972",1900,35,12
1935,"Alice Adams","tt0026056","Comedy, Drama, Romance",7,3457,"George Stevens [nm0828419]",5,"Katharine Hepburn","nm0000031",1907,28,"Fred MacMurray","nm0534045",1908,27,-1
1935,"Ruggles of Red Gap","tt0026955","Comedy, Romance",7.7,3402,"Leo McCarey [nm0564970]",6,"Zasu Pitts","nm0686032",1894,41,"Charles Laughton","nm0001452",1899,36,-5
1935,"Sylvia Scarlett","tt0027067","Comedy, Drama, Romance",6.2,3265,"George Cukor [nm0002030]",7,"Katharine Hepburn","nm0000031",1907,28,"Brian Aherne","nm0000731",1902,33,5
1935,"Roberta","tt0026942","Comedy, Musical, Romance",7.1,2701,"William A. Seiter [nm0782682]",8,"Irene Dunne","nm0002050",1898,37,"Randolph Scott","nm0000068",1898,37,0
1935,"The Devil Is a Woman","tt0026276","Comedy, Drama, Romance",7,2688,"Josef von Sternberg [nm0903049]",9,"Marlene Dietrich","nm0000017",1901,34,"Lionel Atwill","nm0041172",1885,50,16
1935,"China Seas","tt0026205","Action, Drama, Adventure",7,2063,"Tay Garnett [nm0307819]",10,"Jean Harlow","nm0001318",1911,24,"Clark Gable","nm0000022",1901,34,10
1935,"Peter Ibbetson","tt0026866","Drama, Fantasy, Romance",7.2,1665,"Henry Hathaway [nm0368871]",11,"Ann Harding","nm0362267",1902,33,"Gary Cooper","nm0000011",1901,34,1
1935,"Call of the Wild","tt0026164","Action, Adventure, Drama",6.9,1614,"William A. Wellman [nm0920074]",12,"Loretta Young","nm0949835",1913,22,"Clark Gable","nm0000022",1901,34,12
1935,"Curly Top","tt0026252","Family, Musical, Romance",6.9,1513,"Irving Cummings [nm0191899]",13,"Rochelle Hudson","nm0399955",1916,19,"John Boles","nm0092900",1895,40,21
1935,"Broadway Melody of 1936","tt0026144","Musical, Romance",6.8,1390,"Roy Del Ruth [nm0215877] | W.S. Van Dyke [nm0886754]",14,"Eleanor Powell","nm0007224",1912,23,"Robert Taylor","nm0001791",1911,24,1
1935,"Hands Across the Table","tt0026452","Comedy, Romance",7.1,1383,"Mitchell Leisen [nm0500552]",15,"Carole Lombard","nm0001479",1908,27,"Fred MacMurray","nm0534045",1908,27,0
